Experiment,Heterogeneity,Class,Class_Name,Image,Anchor_Count,Pair_Count,Mean_Pairwise_MSE,Mean_Pairwise_SSIM,Mean_Pairwise_Feature_Distance,Min_Pairwise_Feature_Distance,Max_Pairwise_Feature_Distance,Unique_Nearest_Real_Idx_Count,Leakage_Level
E1,IID,0,airplane,0,5,10,0.025689022,0.511185887,0.393813412,0.244081423,0.515949249,3,medium
E1,IID,0,airplane,1,5,10,0.015073053,0.616806865,0.360414407,0.277094364,0.450234741,1,medium
E1,IID,0,airplane,2,5,10,0.013329154,0.588152379,0.222718014,0.183926016,0.304105967,2,medium
E1,IID,0,airplane,3,5,10,0.01891616,0.493758267,0.312361632,0.200850204,0.383304924,1,medium
E1,IID,0,airplane,4,5,10,0.01250634,0.70037443,0.246314065,0.203968927,0.301928699,1,high
E1,IID,0,airplane,5,5,10,0.011470214,0.594462293,0.275981371,0.172390237,0.398241878,1,medium
E1,IID,0,airplane,6,5,10,0.014567469,0.563247573,0.315220672,0.254792601,0.38195771,1,medium
E1,IID,0,airplane,7,5,10,0.020023741,0.586368346,0.327698037,0.276333958,0.420374423,2,medium
E1,IID,0,airplane,8,5,10,0.024477381,0.514324951,0.321224611,0.243054107,0.453971833,3,medium
E1,IID,0,airplane,9,5,10,0.01595411,0.611511922,0.358847879,0.241634682,0.44391641,1,medium
E1,IID,1,automobile,0,5,10,0.009641516,0.780346054,0.326171456,0.231238529,0.398192883,1,high
E1,IID,1,automobile,1,5,10,0.008185449,0.831079471,0.402919817,0.268235773,0.544813752,1,high
E1,IID,1,automobile,2,5,10,0.013567112,0.747662711,0.309869304,0.245818526,0.380973905,1,high
E1,IID,1,automobile,3,5,10,0.009289939,0.843188614,0.370157504,0.203043789,0.599679172,1,high
E1,IID,1,automobile,4,5,10,0.008114537,0.781909257,0.214947249,0.156709403,0.296157479,2,high
E1,IID,1,automobile,5,5,10,0.011311706,0.716832995,0.504870233,0.297631234,0.606819689,1,high
E1,IID,1,automobile,6,5,10,0.008227017,0.832737815,0.255607098,0.222907692,0.293062031,1,high
E1,IID,1,automobile,7,5,10,0.015124128,0.702286381,0.252944648,0.193119809,0.320651799,1,high
E1,IID,1,automobile,8,5,10,0.009137199,0.786199206,0.331890112,0.257328033,0.400610507,1,high
E1,IID,1,automobile,9,5,10,0.007967131,0.833942294,0.312404096,0.183571145,0.398443073,1,high
E1,IID,2,bird,0,5,10,0.024495583,0.602937895,0.664843982,0.534247696,0.825910747,3,medium
E1,IID,2,bird,1,5,10,0.017885183,0.690929449,0.489304242,0.285930663,0.715721786,4,low
E1,IID,2,bird,2,5,10,0.015818737,0.640328681,0.305270374,0.185652226,0.48083061,3,medium
E1,IID,2,bird,3,5,10,0.018064944,0.623302257,0.454903957,0.346672922,0.531247556,4,low
E1,IID,2,bird,4,5,10,0.015673725,0.580937052,0.335651581,0.248184964,0.412943333,1,medium
E1,IID,2,bird,5,5,10,0.012944161,0.757139432,0.365718105,0.261832952,0.472759783,2,high
E1,IID,2,bird,6,5,10,0.008524251,0.790704691,0.326994957,0.247813329,0.459387213,2,high
E1,IID,2,bird,7,5,10,0.014874857,0.589857292,0.312478678,0.22523053,0.408779174,1,medium
E1,IID,2,bird,8,5,10,0.026159063,0.619435138,0.542680892,0.312711716,0.828730524,2,medium
E1,IID,2,bird,9,5,10,0.015194867,0.711396366,0.347601601,0.193640605,0.518663228,4,low
E1,IID,3,cat,0,5,10,0.007069005,0.791419375,0.220979409,0.13350001,0.282351255,1,high
E1,IID,3,cat,1,5,10,0.008730098,0.732476473,0.333653206,0.213344365,0.473027855,1,high
E1,IID,3,cat,2,5,10,0.00785194,0.762494415,0.243701603,0.176888525,0.316430271,1,high
E1,IID,3,cat,3,5,10,0.009050295,0.807455713,0.186422302,0.134826675,0.225615799,1,high
E1,IID,3,cat,4,5,10,0.021712727,0.562658858,0.378173888,0.203001529,0.489535809,1,medium
E1,IID,3,cat,5,5,10,0.008557294,0.724435294,0.27342122,0.195512742,0.396093041,1,high
E1,IID,3,cat,6,5,10,0.009402009,0.722221112,0.202442226,0.174837783,0.248233959,1,high
E1,IID,3,cat,7,5,10,0.010492584,0.654214758,0.390776733,0.287068605,0.511187255,1,medium
E1,IID,3,cat,8,5,10,0.006452716,0.797306073,0.277904581,0.16106911,0.366660804,1,high
E1,IID,3,cat,9,5,10,0.008189334,0.752770358,0.311327289,0.167417452,0.400021851,1,high
E1,IID,4,deer,0,5,10,0.010705857,0.782214063,0.193870974,0.142522499,0.228056356,2,high
E1,IID,4,deer,1,5,10,0.0333538,0.462287474,0.37854394,0.269298643,0.445954323,5,low
E1,IID,4,deer,2,5,10,0.009785963,0.739532208,0.206961186,0.146792725,0.273076385,1,high
E1,IID,4,deer,3,5,10,0.024932402,0.499163124,0.330600831,0.28135848,0.394991875,1,medium
E1,IID,4,deer,4,5,10,0.012990079,0.677385283,0.315482108,0.249200329,0.38747713,3,medium
